date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:10	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2013:38:10%20GMT	https://pendaftaran-bansos-2024.1p-ly.com/robots.txt		(from )
20:38:10	21895/21895	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Sep%202024%2017:05:29%20GMT	https://pendaftaran-bansos-2024.1p-ly.com/id1/	D:tes/Por/pendaftaran-bansos-2024.1p-ly.com/id1/index.html	(from )
20:38:11	155845/155845	---M-Z	200	added ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	D:tes/Por/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	(from https://pendaftaran-bansos-2024.1p-ly.com/id1/)
20:38:11	907/907	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202024%2017:05:29%20GMT	https://pendaftaran-bansos-2024.1p-ly.com/id1/css/custom.css	D:tes/Por/pendaftaran-bansos-2024.1p-ly.com/id1/css/custom.css	(from https://pendaftaran-bansos-2024.1p-ly.com/id1/)
20:38:11	1239/1239	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202024%2017:05:29%20GMT	https://pendaftaran-bansos-2024.1p-ly.com/id1/css/menebus.css	D:tes/Por/pendaftaran-bansos-2024.1p-ly.com/id1/css/menebus.css	(from https://pendaftaran-bansos-2024.1p-ly.com/id1/)
20:38:12	106907/106907	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2017:05:43%20GMT	https://pendaftaran-bansos-2024.1p-ly.com/id1/1.jpg	D:tes/Por/pendaftaran-bansos-2024.1p-ly.com/id1/1.jpg	(from https://pendaftaran-bansos-2024.1p-ly.com/id1/)
20:38:12	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2013:38:12%20GMT	https://pendaftaran-bansos-2024.1p-ly.com/id1/favicon.png	D:tes/Por/pendaftaran-bansos-2024.1p-ly.com/id1/favicon.png	(from https://pendaftaran-bansos-2024.1p-ly.com/id1/)
20:38:12	63666/63666	---MCZ	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	D:tes/Por/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://pendaftaran-bansos-2024.1p-ly.com/id1/)
20:38:12	93670/93670	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2025%20Sep%202024%2017:05:29%20GMT	https://pendaftaran-bansos-2024.1p-ly.com/id1/js/vue.min.js.download	D:tes/Por/pendaftaran-bansos-2024.1p-ly.com/id1/js/vue.min.js.download	(from https://pendaftaran-bansos-2024.1p-ly.com/id1/)
20:38:12	38810/38810	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2025%20Sep%202024%2017:05:29%20GMT	https://pendaftaran-bansos-2024.1p-ly.com/id1/js/clipboard.js.download	D:tes/Por/pendaftaran-bansos-2024.1p-ly.com/id1/js/clipboard.js.download	(from https://pendaftaran-bansos-2024.1p-ly.com/id1/)
